id,value,score,category
0,,83,C
1,,12,B
2,,26,B
3,,25,B
4,,37,A
5,,0,C
6,,42,A
7,,38,B
8,,58,A
9,,57,A
10,0.09716731867045719,9999,B
11,-1.5259304065189514,42,A
12,1.1921661041016585,50,C
13,-0.6710896751741096,83,C
14,1.0002694196594604,7,C
15,0.1363211238531175,61,A
16,1.5320330796287964,8,A
17,-0.6599694137918207,26,B
18,-0.31179485646991756,44,C
19,0.337769126558826,81,A
20,-2.2074710981998042,33,A
21,0.8279214415587369,49,C
22,1.541630394690618,57,A
23,1.126806793265028,75,C
24,0.7547696443122508,39,A
25,-0.14597789311522394,56,A
26,1.2819022270597127,83,A
27,1.0740306219719435,43,C
28,0.39262084457727114,93,C
29,0.005114312828982818,39,B
30,-0.3617668721609232,43,B
31,-1.230232195490445,2,C
32,1.2262292928211507,53,A
33,-2.1720438866851817,46,C
34,-0.37014734585231535,41,C
35,0.16438006967466792,62,B
36,0.8598811846127368,54,C
37,1.761661236511811,94,A
38,0.993323775951811,40,B
39,-0.29152142609843873,43,A
40,0.7281275578891427,81,A
41,-1.2616003169196963,48,B
42,1.4299385266887068,25,A
43,-0.15647532482940535,51,A
44,-0.6737591499870575,50,B
45,-0.6390601004322052,40,C
46,-0.061361327620372906,53,A
47,-0.39278492256994324,57,A
48,2.2899099473145785,97,C
49,-0.718181147880596,7,A
0,,83,C
1,,12,B
2,,26,B
3,,25,B
4,,37,A
