a,b,cat
0.30471707975443135,4,Beta
-1.0399841062404955,0,Alpha
0.7504511958064572,5,Beta
0.9405647163912139,5,Gamma
-1.9510351886538364,1,Beta
-1.302179506862318,6,Alpha
0.12784040316728537,8,Beta
-0.3162425923435822,1,Gamma
-0.016801157504288795,7,Gamma
-0.85304392757358,1,Alpha
0.8793979748628286,7,Gamma
0.7777919354289483,4,Gamma
0.06603069756121605,0,Alpha
1.1272412069680329,9,Gamma
0.4675093422520456,1,Beta
-0.8592924628832382,5,Beta
0.36875078408249884,1,Beta
-0.9588826008289989,9,Gamma
0.8784503013072725,7,Gamma
-0.049925910986252896,8,Gamma
-0.18486236354526056,4,Gamma
-0.6809295444039414,4,Gamma
1.2225413386740303,6,Alpha
-0.15452948206880215,7,Alpha
-0.4283278221631072,8,Gamma
-0.3521335504882296,0,Beta
0.5323091855533487,6,Alpha
0.36544406436407834,1,Alpha
0.4127326115959884,2,Beta
0.43082100300788273,8,Beta
2.1416476008704612,2,Alpha
-0.4064150163846156,7,Alpha
-0.5122427290715373,4,Alpha
-0.8137727282478777,2,Beta
0.6159794225754956,3,Alpha
1.1289722927208916,5,Beta
-0.11394745765487507,7,Beta
-0.840156476962528,6,Beta
-0.8244812156912396,9,Gamma
0.6505927878247011,8,Beta
0.7432541712034423,7,Gamma
0.543154268305195,6,Gamma
-0.6655097072886943,2,Gamma
0.23216132306671977,4,Gamma
0.11668580914072822,1,Beta
0.21868859672901295,3,Beta
0.8714287779481898,9,Alpha
0.22359554877468227,4,Beta
0.6789135630718949,1,Alpha
0.06757906948889146,6,Gamma
0.28911939868998415,9,Gamma
0.6312882258385404,8,Alpha
-1.4571558198556664,2,Gamma
-0.31967121635730134,4,Alpha
-0.4703726542927955,5,Gamma
-0.6388778482433419,2,Alpha
-0.27514225122668373,2,Beta
1.4949413112343959,2,Beta
-0.8658311156932432,9,Gamma
0.9682783545914808,7,Beta
-1.6828697716158048,8,Gamma
-0.33488502998577485,8,Gamma
0.1627530651050056,9,Alpha
0.5862223313592781,1,Gamma
0.711226579792855,8,Gamma
0.7933472351999252,0,Beta
-0.3487250722484376,4,Gamma
-0.46235179266456716,5,Gamma
0.8579758812571538,3,Gamma
-0.1913043248816149,1,Gamma
-1.2756863233379219,1,Beta
-1.1332872140034806,8,Alpha
-0.9194522860016113,3,Gamma
0.49716074405376404,3,Beta
0.14242573607056525,9,Beta
0.6904853540677682,1,Alpha
-0.42725264633653426,9,Alpha
0.15853969107671423,9,Alpha
0.6255903939673367,5,Gamma
-0.3093465397202384,1,Alpha
0.45677523755741145,1,Alpha
-0.6619259410666513,2,Gamma
-0.3630538465650718,5,Beta
-0.3817378939983291,1,Beta
-1.1958396455890397,4,Gamma
0.4869724807855818,1,Beta
-0.46940234020272387,5,Alpha
0.01249411872768743,0,Gamma
0.48074665890590895,7,Alpha
0.4465311760299441,0,Beta
0.6653851089727862,1,Gamma
-0.09848548450942361,1,Gamma
-0.42329831204415375,8,Beta
-0.07971821090639905,0,Gamma
-1.6873344339580298,4,Beta
-1.4471124724230873,5,Beta
-1.3226996123544024,5,Alpha
-0.9972468276014818,6,Beta
0.3997742267234366,8,Beta
-0.9054790553600608,3,Gamma
-0.3781625540393897,8,Alpha
1.2992282977860654,3,Gamma
-0.35626397106142593,9,Gamma
0.7375155684670865,5,Gamma
-0.933617680009877,7,Beta
-0.20543755786763002,8,Alpha
-0.9500220549105812,7,Alpha
-0.3390330759005625,8,Gamma
0.8403081374573955,5,Gamma
-1.7273204231923487,0,Beta
0.43442364354585733,4,Alpha
0.2377356023322779,1,Alpha
-0.5941499556967944,8,Beta
-1.4460578543884546,2,Beta
0.07212950771386951,2,Alpha
-0.5294927090638024,2,Gamma
0.23267621135470395,6,Beta
0.02185214552344288,5,Alpha
1.6017788913209154,9,Alpha
-0.23935562747302427,4,Beta
-1.023497492621865,2,Gamma
0.17927563495631615,0,Gamma
0.21999668397176517,0,Beta
1.3591875752404365,3,Alpha
0.8351112459145785,9,Gamma
0.35687105914950934,5,Beta
1.4633028912195618,8,Alpha
-1.188763054322851,1,Beta
-0.6397515327497477,0,Alpha
-0.9265759414055249,8,Alpha
-0.38980980315576796,1,Beta
-1.3766861475563088,0,Gamma
0.6351509468144043,4,Gamma
-0.22222269709877338,9,Gamma
-1.4708062945026579,6,Beta
-1.0155790812075416,0,Alpha
0.3135138474501953,8,Beta
0.8381265678943811,8,Gamma
1.9967308916917865,8,Alpha
2.9138624660073296,9,Gamma
0.4144094332759964,2,Gamma
-0.9895381200318641,9,Alpha
-2.132046280731309,3,Gamma
0.2677114623438358,8,Gamma
-0.812941095310326,5,Alpha
-0.41535726017968533,7,Alpha
-0.6120967990598081,6,Beta
-0.14079088641638526,6,Gamma
1.0659802307876436,6,Alpha
0.15704856744534462,7,Beta
-0.1586348370386883,7,Alpha
-1.0356537528258116,1,Beta
-1.674682944704357,8,Beta
-0.4863079090733309,5,Alpha
-0.05378255081832049,3,Gamma
1.767929913579883,5,Gamma
0.13027452147288585,9,Gamma
0.9827395110230576,8,Alpha
-0.49929559853915206,8,Alpha
-1.1849437664170246,4,Alpha
-0.9651167622323719,7,Beta
-0.7252260645357532,3,Alpha
2.1284697324351645,6,Gamma
-0.8213866792243861,6,Gamma
0.838489203736345,2,Gamma
-0.9029271780870264,2,Alpha
0.9315730128742441,0,Alpha
0.38495096610586316,1,Gamma
-0.1566378976580904,4,Alpha
-0.040762526135434025,4,Beta
-0.6547876954293904,1,Gamma
0.44607220148208054,4,Alpha
-0.45498348034078,6,Alpha
-1.2256057637672482,2,Alpha
-1.2779375743196193,3,Alpha
0.17258791772211948,3,Alpha
1.579091256410435,5,Gamma
0.15999161357343825,3,Beta
-0.11863832610988256,7,Gamma
0.2858261396025429,3,Gamma
1.3060017417068248,4,Gamma
0.21938250136385634,3,Alpha
-0.41092723083373717,1,Alpha
1.1062887100598888,6,Gamma
0.4287564384616135,2,Alpha
1.535755991995992,2,Alpha
0.18323443722190613,7,Gamma
-1.2244690317205003,9,Gamma
-1.368159199245665,6,Gamma
1.6509279322312496,9,Gamma
1.723665720783297,8,Alpha
-0.17951921328260065,4,Gamma
-0.38318732113598775,7,Gamma
1.4614442922422022,3,Gamma
-1.107045682043488,4,Gamma
-0.8947270189558264,5,Gamma
0.6433267946890444,9,Beta
-0.3946051228595896,8,Alpha
-0.005121866720071296,4,Beta
-0.16344289852451258,6,Alpha
0.33757454879893356,2,Alpha
1.4074818613137168,8,Alpha
0.09058490690174555,5,Gamma
0.6439387932768579,5,Beta
-2.0501721010310225,7,Beta
-0.04871840193011795,6,Gamma
-0.8432302702928711,0,Beta
-1.218813060423628,2,Beta
-0.8781523669287508,1,Alpha
-0.33412344070081207,7,Gamma
0.9159025423560131,0,Beta
-1.326392717739564,2,Alpha
0.030631492594417446,5,Gamma
-0.4841694333335785,6,Gamma
-0.32767309436196085,5,Alpha
1.0027578253046041,8,Alpha
0.5381154370039261,9,Alpha
1.3373981074427437,1,Alpha
-0.15450567924990047,9,Alpha
-0.695942611670703,6,Gamma
