a,b,cat
0.30471707975443135,4,Alpha
-1.0399841062404955,5,Beta
0.7504511958064572,3,Beta
0.9405647163912139,1,Gamma
-1.9510351886538364,1,Alpha
-1.302179506862318,8,Gamma
0.12784040316728537,3,Gamma
-0.3162425923435822,3,Gamma
-0.016801157504288795,9,Beta
-0.85304392757358,1,Alpha
0.8793979748628286,9,Alpha
0.7777919354289483,9,Gamma
0.06603069756121605,5,Gamma
1.1272412069680329,1,Beta
0.4675093422520456,1,Alpha
-0.8592924628832382,2,Alpha
0.36875078408249884,5,Beta
-0.9588826008289989,1,Beta
0.8784503013072725,4,Alpha
-0.049925910986252896,1,Gamma
-0.18486236354526056,5,Beta
-0.6809295444039414,0,Alpha
1.2225413386740303,7,Alpha
-0.15452948206880215,0,Beta
-0.4283278221631072,1,Gamma
-0.3521335504882296,1,Gamma
0.5323091855533487,8,Beta
0.36544406436407834,0,Alpha
0.4127326115959884,4,Gamma
0.43082100300788273,5,Beta
2.1416476008704612,5,Alpha
-0.4064150163846156,6,Beta
-0.5122427290715373,8,Alpha
-0.8137727282478777,3,Alpha
0.6159794225754956,8,Beta
1.1289722927208916,3,Gamma
-0.11394745765487507,9,Gamma
-0.840156476962528,5,Gamma
-0.8244812156912396,7,Beta
0.6505927878247011,8,Alpha
0.7432541712034423,7,Beta
0.543154268305195,8,Gamma
-0.6655097072886943,5,Alpha
0.23216132306671977,0,Gamma
0.11668580914072822,4,Gamma
0.21868859672901295,1,Alpha
0.8714287779481898,8,Gamma
0.22359554877468227,2,Gamma
0.6789135630718949,2,Alpha
0.06757906948889146,2,Alpha
0.28911939868998415,6,Beta
0.6312882258385404,5,Gamma
-1.4571558198556664,9,Alpha
-0.31967121635730134,4,Beta
-0.4703726542927955,2,Alpha
-0.6388778482433419,0,Beta
-0.27514225122668373,0,Beta
1.4949413112343959,3,Alpha
-0.8658311156932432,9,Gamma
0.9682783545914808,5,Gamma
-1.6828697716158048,8,Gamma
-0.33488502998577485,1,Alpha
0.1627530651050056,0,Alpha
0.5862223313592781,8,Alpha
0.711226579792855,1,Beta
0.7933472351999252,0,Alpha
-0.3487250722484376,4,Gamma
-0.46235179266456716,9,Gamma
0.8579758812571538,6,Gamma
-0.1913043248816149,0,Alpha
-1.2756863233379219,8,Alpha
-1.1332872140034806,8,Gamma
-0.9194522860016113,8,Alpha
0.49716074405376404,9,Beta
0.14242573607056525,2,Gamma
0.6904853540677682,9,Alpha
-0.42725264633653426,3,Alpha
0.15853969107671423,8,Alpha
0.6255903939673367,5,Alpha
-0.3093465397202384,7,Alpha
0.45677523755741145,6,Gamma
-0.6619259410666513,6,Beta
-0.3630538465650718,6,Gamma
-0.3817378939983291,7,Gamma
-1.1958396455890397,7,Gamma
0.4869724807855818,1,Alpha
-0.46940234020272387,8,Alpha
0.01249411872768743,5,Gamma
0.48074665890590895,3,Alpha
0.4465311760299441,5,Alpha
0.6653851089727862,9,Gamma
-0.09848548450942361,8,Gamma
-0.42329831204415375,8,Gamma
-0.07971821090639905,4,Gamma
-1.6873344339580298,7,Alpha
-1.4471124724230873,3,Gamma
-1.3226996123544024,6,Gamma
-0.9972468276014818,6,Gamma
0.3997742267234366,2,Gamma
-0.9054790553600608,2,Gamma
-0.3781625540393897,0,Beta
1.2992282977860654,1,Alpha
-0.35626397106142593,4,Beta
0.7375155684670865,4,Alpha
-0.933617680009877,1,Alpha
-0.20543755786763002,4,Alpha
-0.9500220549105812,6,Gamma
-0.3390330759005625,2,Beta
0.8403081374573955,3,Beta
-1.7273204231923487,3,Gamma
0.43442364354585733,5,Beta
0.2377356023322779,3,Beta
-0.5941499556967944,7,Alpha
-1.4460578543884546,3,Gamma
0.07212950771386951,4,Beta
-0.5294927090638024,3,Alpha
0.23267621135470395,1,Gamma
0.02185214552344288,6,Gamma
1.6017788913209154,2,Alpha
-0.23935562747302427,2,Alpha
-1.023497492621865,7,Alpha
0.17927563495631615,9,Alpha
0.21999668397176517,6,Alpha
1.3591875752404365,9,Gamma
0.8351112459145785,8,Beta
0.35687105914950934,4,Gamma
1.4633028912195618,7,Gamma
-1.188763054322851,3,Beta
-0.6397515327497477,4,Beta
-0.9265759414055249,5,Alpha
-0.38980980315576796,9,Alpha
-1.3766861475563088,8,Beta
0.6351509468144043,4,Alpha
-0.22222269709877338,6,Alpha
-1.4708062945026579,2,Alpha
-1.0155790812075416,8,Gamma
0.3135138474501953,5,Beta
0.8381265678943811,5,Gamma
1.9967308916917865,7,Beta
2.9138624660073296,6,Alpha
0.4144094332759964,0,Beta
-0.9895381200318641,2,Alpha
-2.132046280731309,1,Gamma
0.2677114623438358,7,Alpha
-0.812941095310326,0,Beta
-0.41535726017968533,2,Gamma
-0.6120967990598081,5,Beta
-0.14079088641638526,6,Beta
1.0659802307876436,5,Beta
0.15704856744534462,8,Gamma
-0.1586348370386883,9,Alpha
-1.0356537528258116,1,Beta
-1.674682944704357,9,Gamma
-0.4863079090733309,6,Beta
-0.05378255081832049,6,Beta
1.767929913579883,0,Alpha
0.13027452147288585,6,Alpha
0.9827395110230576,7,Gamma
-0.49929559853915206,5,Beta
-1.1849437664170246,0,Alpha
-0.9651167622323719,5,Beta
-0.7252260645357532,9,Beta
2.1284697324351645,7,Beta
-0.8213866792243861,1,Gamma
0.838489203736345,9,Alpha
-0.9029271780870264,9,Beta
0.9315730128742441,1,Beta
0.38495096610586316,8,Gamma
-0.1566378976580904,4,Alpha
-0.040762526135434025,5,Alpha
-0.6547876954293904,4,Beta
0.44607220148208054,7,Beta
-0.45498348034078,9,Gamma
-1.2256057637672482,7,Beta
-1.2779375743196193,9,Gamma
0.17258791772211948,9,Beta
1.579091256410435,0,Alpha
0.15999161357343825,2,Alpha
-0.11863832610988256,7,Gamma
0.2858261396025429,5,Alpha
1.3060017417068248,0,Gamma
0.21938250136385634,0,Alpha
-0.41092723083373717,5,Alpha
1.1062887100598888,6,Alpha
0.4287564384616135,1,Beta
1.535755991995992,1,Beta
0.18323443722190613,1,Gamma
-1.2244690317205003,5,Beta
-1.368159199245665,0,Beta
1.6509279322312496,5,Beta
1.723665720783297,4,Gamma
-0.17951921328260065,4,Beta
-0.38318732113598775,6,Alpha
1.4614442922422022,5,Beta
-1.107045682043488,7,Gamma
-0.8947270189558264,7,Alpha
0.6433267946890444,9,Gamma
-0.3946051228595896,7,Beta
-0.005121866720071296,5,Beta
-0.16344289852451258,4,Alpha
0.33757454879893356,2,Gamma
1.4074818613137168,5,Alpha
0.09058490690174555,1,Alpha
0.6439387932768579,9,Beta
-2.0501721010310225,8,Beta
-0.04871840193011795,1,Beta
-0.8432302702928711,7,Alpha
-1.218813060423628,1,Alpha
-0.8781523669287508,7,Alpha
-0.33412344070081207,0,Beta
0.9159025423560131,4,Beta
-1.326392717739564,6,Beta
0.030631492594417446,7,Beta
-0.4841694333335785,4,Gamma
-0.32767309436196085,9,Beta
1.0027578253046041,7,Beta
0.5381154370039261,2,Beta
1.3373981074427437,6,Beta
-0.15450567924990047,7,Beta
-0.695942611670703,3,Alpha
-0.22385881688049952,7,Alpha
0.2424967912712216,8,Gamma
0.17657335845371103,8,Beta
-1.0843880722333665,7,Beta
0.09048978162787422,6,Alpha
0.22822833013890514,2,Beta
2.5174740375339204,7,Beta
1.8768446112816701,3,Beta
-0.8532433505588201,5,Beta
-0.2873833615491761,3,Beta
-1.4634420018370031,3,Gamma
-0.5907070139634865,1,Beta
0.3156050035903405,9,Gamma
1.2058536208882336,1,Gamma
-0.7290838377436085,0,Beta
-0.6541464400677965,9,Gamma
-2.147289029738655,5,Alpha
-0.16266592054490767,4,Gamma
-1.062414411859563,7,Gamma
-0.5294394273660737,3,Beta
-0.8768607781675882,1,Gamma
-0.09426255425255699,7,Beta
-1.7577283913566313,1,Alpha
-1.4670452453909906,5,Gamma
2.129247112028298,9,Alpha
-1.287422581274031,9,Alpha
-1.0967855784546396,3,Beta
1.836913528321314,7,Gamma
2.905067169240407,6,Beta
-1.1715666288253417,4,Beta
