a,b,cat
0.30471707975443135,6,Alpha
-1.0399841062404955,2,Gamma
0.7504511958064572,3,Beta
0.9405647163912139,3,Alpha
-1.9510351886538364,5,Beta
-1.302179506862318,3,Beta
0.12784040316728537,7,Beta
-0.3162425923435822,3,Gamma
-0.016801157504288795,4,Alpha
-0.85304392757358,3,Beta
0.8793979748628286,1,Beta
0.7777919354289483,6,Gamma
0.06603069756121605,2,Alpha
1.1272412069680329,2,Alpha
0.4675093422520456,7,Beta
-0.8592924628832382,9,Beta
0.36875078408249884,6,Gamma
-0.9588826008289989,9,Beta
0.8784503013072725,8,Gamma
-0.049925910986252896,4,Beta
-0.18486236354526056,7,Alpha
-0.6809295444039414,3,Alpha
1.2225413386740303,4,Gamma
-0.15452948206880215,5,Alpha
-0.4283278221631072,9,Gamma
-0.3521335504882296,8,Alpha
0.5323091855533487,4,Alpha
0.36544406436407834,6,Alpha
0.4127326115959884,2,Beta
0.43082100300788273,8,Beta
2.1416476008704612,5,Gamma
-0.4064150163846156,5,Beta
-0.5122427290715373,7,Beta
-0.8137727282478777,6,Beta
0.6159794225754956,0,Gamma
1.1289722927208916,2,Beta
-0.11394745765487507,1,Alpha
-0.840156476962528,7,Beta
-0.8244812156912396,0,Gamma
0.6505927878247011,2,Alpha
0.7432541712034423,5,Gamma
0.543154268305195,6,Beta
-0.6655097072886943,5,Beta
0.23216132306671977,8,Alpha
0.11668580914072822,9,Gamma
0.21868859672901295,1,Alpha
0.8714287779481898,9,Alpha
0.22359554877468227,6,Beta
0.6789135630718949,6,Beta
0.06757906948889146,0,Beta
0.28911939868998415,6,Alpha
0.6312882258385404,7,Alpha
-1.4571558198556664,5,Alpha
-0.31967121635730134,0,Beta
-0.4703726542927955,5,Beta
-0.6388778482433419,9,Beta
-0.27514225122668373,7,Beta
1.4949413112343959,1,Gamma
-0.8658311156932432,9,Beta
0.9682783545914808,9,Beta
-1.6828697716158048,1,Beta
-0.33488502998577485,8,Beta
0.1627530651050056,4,Beta
0.5862223313592781,5,Alpha
0.711226579792855,4,Alpha
0.7933472351999252,7,Gamma
-0.3487250722484376,9,Beta
-0.46235179266456716,7,Beta
0.8579758812571538,9,Alpha
-0.1913043248816149,9,Beta
-1.2756863233379219,0,Beta
-1.1332872140034806,2,Beta
-0.9194522860016113,7,Beta
0.49716074405376404,5,Beta
0.14242573607056525,0,Gamma
0.6904853540677682,0,Beta
-0.42725264633653426,5,Gamma
0.15853969107671423,6,Gamma
0.6255903939673367,1,Beta
-0.3093465397202384,1,Gamma
0.45677523755741145,1,Alpha
-0.6619259410666513,5,Gamma
-0.3630538465650718,0,Gamma
-0.3817378939983291,5,Beta
-1.1958396455890397,4,Gamma
0.4869724807855818,4,Beta
-0.46940234020272387,6,Alpha
0.01249411872768743,5,Gamma
0.48074665890590895,7,Alpha
0.4465311760299441,7,Alpha
0.6653851089727862,9,Beta
