a,b,cat
0.3047170797544313,9,Gamma
-1.0399841062404955,0,Gamma
0.7504511958064572,1,Gamma
0.940564716391214,2,Beta
-1.9510351886538364,2,Gamma
-1.302179506862318,1,Beta
0.1278404031672853,0,Gamma
-0.3162425923435822,6,Beta
-0.0168011575042887,9,Alpha
-0.85304392757358,1,Alpha
0.8793979748628286,2,Alpha
0.7777919354289483,5,Alpha
0.066030697561216,9,Beta
1.1272412069680329,6,Beta
0.4675093422520456,7,Alpha
-0.8592924628832382,5,Beta
0.3687507840824988,4,Beta
-0.9588826008289988,1,Alpha
0.8784503013072725,8,Beta
-0.0499259109862528,8,Beta
-0.1848623635452605,0,Beta
-0.6809295444039414,7,Beta
1.2225413386740305,0,Gamma
-0.1545294820688021,7,Alpha
-0.4283278221631072,8,Beta
-0.3521335504882296,1,Beta
0.5323091855533487,4,Alpha
0.3654440643640783,1,Gamma
0.4127326115959884,5,Alpha
0.4308210030078827,9,Alpha
2.141647600870461,0,Gamma
-0.4064150163846156,3,Gamma
-0.5122427290715373,9,Gamma
-0.8137727282478777,3,Gamma
0.6159794225754956,1,Gamma
1.1289722927208916,4,Beta
-0.113947457654875,5,Gamma
-0.840156476962528,6,Alpha
-0.8244812156912396,3,Beta
0.6505927878247011,9,Beta
0.7432541712034423,5,Gamma
0.543154268305195,2,Gamma
-0.6655097072886943,9,Beta
0.2321613230667197,9,Beta
0.1166858091407282,4,Alpha
0.2186885967290129,0,Gamma
0.8714287779481898,5,Beta
0.2235955487746822,5,Beta
0.6789135630718949,1,Gamma
0.0675790694888914,6,Beta
0.2891193986899841,8,Alpha
0.6312882258385404,1,Alpha
-1.4571558198556664,7,Alpha
-0.3196712163573013,1,Gamma
-0.4703726542927955,7,Alpha
-0.6388778482433419,4,Alpha
-0.2751422512266837,0,Beta
1.494941311234396,9,Gamma
-0.8658311156932432,1,Beta
0.9682783545914808,5,Gamma
-1.6828697716158048,1,Gamma
-0.3348850299857748,9,Alpha
0.1627530651050056,7,Gamma
0.5862223313592781,8,Beta
0.711226579792855,4,Beta
0.7933472351999252,4,Alpha
-0.3487250722484376,6,Beta
-0.4623517926645671,7,Gamma
0.8579758812571538,8,Beta
-0.1913043248816149,0,Alpha
-1.275686323337922,6,Beta
-1.1332872140034806,1,Gamma
-0.9194522860016112,2,Gamma
0.497160744053764,8,Alpha
0.1424257360705652,2,Gamma
0.6904853540677682,7,Gamma
-0.4272526463365342,4,Alpha
0.1585396910767142,2,Gamma
0.6255903939673367,3,Beta
-0.3093465397202384,5,Beta
0.4567752375574114,7,Beta
-0.6619259410666513,6,Gamma
-0.3630538465650718,9,Gamma
-0.3817378939983291,8,Gamma
-1.1958396455890397,7,Gamma
0.4869724807855818,6,Gamma
-0.4694023402027238,2,Alpha
0.0124941187276874,4,Alpha
0.4807466589059089,1,Gamma
0.4465311760299441,3,Beta
0.6653851089727862,9,Alpha
-0.0984854845094236,4,Alpha
-0.4232983120441537,1,Beta
-0.079718210906399,6,Beta
-1.6873344339580298,9,Alpha
-1.4471124724230873,8,Alpha
-1.3226996123544024,2,Alpha
-0.9972468276014818,4,Beta
0.3997742267234366,5,Alpha
-0.9054790553600608,2,Beta
-0.3781625540393897,2,Beta
1.2992282977860654,2,Beta
-0.3562639710614259,9,Gamma
0.7375155684670865,7,Beta
-0.933617680009877,8,Gamma
-0.20543755786763,8,Gamma
-0.9500220549105812,9,Gamma
-0.3390330759005625,1,Gamma
0.8403081374573955,8,Beta
-1.727320423192349,0,Beta
0.4344236435458573,4,Alpha
0.2377356023322779,5,Beta
-0.5941499556967944,3,Alpha
-1.4460578543884546,1,Gamma
0.0721295077138695,1,Gamma
-0.5294927090638024,8,Alpha
0.2326762113547039,3,Gamma
0.0218521455234428,3,Alpha
1.6017788913209154,9,Gamma
-0.2393556274730242,1,Alpha
-1.023497492621865,9,Beta
0.1792756349563161,9,Beta
0.2199966839717651,5,Gamma
1.3591875752404363,1,Beta
0.8351112459145785,1,Gamma
0.3568710591495093,2,Gamma
1.4633028912195618,5,Alpha
-1.188763054322851,1,Gamma
-0.6397515327497477,4,Gamma
-0.9265759414055248,1,Beta
-0.3898098031557679,5,Gamma
-1.3766861475563088,0,Gamma
0.6351509468144043,7,Gamma
-0.2222226970987733,0,Gamma
-1.470806294502658,1,Beta
-1.0155790812075416,1,Alpha
0.3135138474501953,8,Gamma
0.8381265678943811,0,Beta
1.9967308916917863,4,Beta
2.9138624660073296,5,Alpha
0.4144094332759964,5,Alpha
-0.989538120031864,6,Alpha
-2.132046280731309,8,Gamma
0.2677114623438358,3,Alpha
-0.812941095310326,8,Alpha
-0.4153572601796853,3,Gamma
-0.6120967990598081,9,Beta
-0.1407908864163852,5,Beta
1.0659802307876436,7,Gamma
0.1570485674453446,8,Beta
-0.1586348370386883,7,Alpha
-1.0356537528258116,8,Gamma
-1.674682944704357,5,Alpha
-0.4863079090733309,0,Beta
-0.0537825508183204,4,Gamma
1.767929913579883,1,Gamma
0.1302745214728858,8,Beta
0.9827395110230576,2,Gamma
-0.499295598539152,2,Beta
-1.1849437664170246,2,Beta
-0.965116762232372,6,Alpha
-0.7252260645357532,5,Beta
2.1284697324351645,9,Beta
-0.8213866792243861,4,Gamma
0.838489203736345,2,Alpha
-0.9029271780870264,0,Gamma
0.931573012874244,0,Gamma
0.3849509661058631,3,Gamma
-0.1566378976580904,9,Beta
-0.040762526135434,5,Alpha
-0.6547876954293904,8,Alpha
0.4460722014820805,1,Gamma
-0.45498348034078,0,Gamma
-1.2256057637672482,8,Beta
-1.2779375743196193,1,Alpha
0.1725879177221194,0,Alpha
1.579091256410435,4,Beta
0.1599916135734382,9,Beta
-0.1186383261098825,6,Alpha
0.2858261396025429,0,Gamma
1.3060017417068248,8,Beta
0.2193825013638563,8,Alpha
-0.4109272308337371,8,Alpha
1.1062887100598888,9,Beta
0.4287564384616135,2,Gamma
1.535755991995992,9,Gamma
0.1832344372219061,3,Beta
-1.2244690317205005,8,Alpha
-1.368159199245665,5,Gamma
1.6509279322312496,7,Beta
1.723665720783297,6,Alpha
-0.1795192132826006,6,Beta
-0.3831873211359877,6,Alpha
1.4614442922422022,7,Alpha
-1.107045682043488,7,Beta
-0.8947270189558264,1,Gamma
0.6433267946890444,8,Gamma
-0.3946051228595896,5,Gamma
-0.0051218667200712,3,Beta
-0.1634428985245125,5,Alpha
