a,b,cat
0.3047170797544313,6,Alpha
-1.0399841062404955,2,Gamma
0.7504511958064572,3,Beta
0.940564716391214,3,Alpha
-1.9510351886538364,5,Beta
-1.302179506862318,3,Beta
0.1278404031672853,7,Beta
-0.3162425923435822,3,Gamma
-0.0168011575042887,4,Alpha
-0.85304392757358,3,Beta
0.8793979748628286,1,Beta
0.7777919354289483,6,Gamma
0.066030697561216,2,Alpha
1.1272412069680329,2,Alpha
0.4675093422520456,7,Beta
-0.8592924628832382,9,Beta
0.3687507840824988,6,Gamma
-0.9588826008289988,9,Beta
0.8784503013072725,8,Gamma
-0.0499259109862528,4,Beta
-0.1848623635452605,7,Alpha
-0.6809295444039414,3,Alpha
1.2225413386740305,4,Gamma
-0.1545294820688021,5,Alpha
-0.4283278221631072,9,Gamma
-0.3521335504882296,8,Alpha
0.5323091855533487,4,Alpha
0.3654440643640783,6,Alpha
0.4127326115959884,2,Beta
0.4308210030078827,8,Beta
2.141647600870461,5,Gamma
-0.4064150163846156,5,Beta
-0.5122427290715373,7,Beta
-0.8137727282478777,6,Beta
0.6159794225754956,0,Gamma
1.1289722927208916,2,Beta
-0.113947457654875,1,Alpha
-0.840156476962528,7,Beta
-0.8244812156912396,0,Gamma
0.6505927878247011,2,Alpha
0.7432541712034423,5,Gamma
0.543154268305195,6,Beta
-0.6655097072886943,5,Beta
0.2321613230667197,8,Alpha
0.1166858091407282,9,Gamma
0.2186885967290129,1,Alpha
0.8714287779481898,9,Alpha
0.2235955487746822,6,Beta
0.6789135630718949,6,Beta
0.0675790694888914,0,Beta
0.2891193986899841,6,Alpha
0.6312882258385404,7,Alpha
-1.4571558198556664,5,Alpha
-0.3196712163573013,0,Beta
-0.4703726542927955,5,Beta
-0.6388778482433419,9,Beta
-0.2751422512266837,7,Beta
1.494941311234396,1,Gamma
-0.8658311156932432,9,Beta
0.9682783545914808,9,Beta
-1.6828697716158048,1,Beta
-0.3348850299857748,8,Beta
0.1627530651050056,4,Beta
0.5862223313592781,5,Alpha
0.711226579792855,4,Alpha
0.7933472351999252,7,Gamma
-0.3487250722484376,9,Beta
-0.4623517926645671,7,Beta
0.8579758812571538,9,Alpha
-0.1913043248816149,9,Beta
-1.275686323337922,0,Beta
-1.1332872140034806,2,Beta
-0.9194522860016112,7,Beta
0.497160744053764,5,Beta
0.1424257360705652,0,Gamma
0.6904853540677682,0,Beta
-0.4272526463365342,5,Gamma
0.1585396910767142,6,Gamma
0.6255903939673367,1,Beta
-0.3093465397202384,1,Gamma
0.4567752375574114,1,Alpha
-0.6619259410666513,5,Gamma
-0.3630538465650718,0,Gamma
-0.3817378939983291,5,Beta
-1.1958396455890397,4,Gamma
0.4869724807855818,4,Beta
-0.4694023402027238,6,Alpha
0.0124941187276874,5,Gamma
0.4807466589059089,7,Alpha
0.4465311760299441,7,Alpha
0.6653851089727862,9,Beta
-0.0984854845094236,7,Gamma
-0.4232983120441537,5,Beta
-0.079718210906399,4,Beta
-1.6873344339580298,2,Alpha
-1.4471124724230873,5,Alpha
-1.3226996123544024,1,Alpha
-0.9972468276014818,9,Alpha
0.3997742267234366,8,Gamma
-0.9054790553600608,1,Gamma
-0.3781625540393897,7,Gamma
1.2992282977860654,1,Alpha
-0.3562639710614259,7,Alpha
0.7375155684670865,0,Alpha
-0.933617680009877,4,Beta
-0.20543755786763,6,Beta
-0.9500220549105812,7,Beta
-0.3390330759005625,4,Alpha
0.8403081374573955,9,Gamma
-1.727320423192349,7,Alpha
0.4344236435458573,2,Alpha
0.2377356023322779,6,Gamma
-0.5941499556967944,7,Gamma
-1.4460578543884546,3,Alpha
0.0721295077138695,7,Beta
-0.5294927090638024,8,Gamma
0.2326762113547039,8,Gamma
0.0218521455234428,7,Gamma
1.6017788913209154,6,Beta
-0.2393556274730242,2,Beta
-1.023497492621865,7,Gamma
0.1792756349563161,3,Alpha
0.2199966839717651,5,Alpha
1.3591875752404363,3,Beta
0.8351112459145785,3,Gamma
0.3568710591495093,1,Alpha
1.4633028912195618,9,Beta
-1.188763054322851,1,Beta
-0.6397515327497477,0,Beta
-0.9265759414055248,9,Gamma
-0.3898098031557679,5,Alpha
-1.3766861475563088,4,Gamma
0.6351509468144043,7,Beta
-0.2222226970987733,3,Gamma
-1.470806294502658,1,Beta
-1.0155790812075416,7,Alpha
0.3135138474501953,1,Gamma
0.8381265678943811,5,Gamma
1.9967308916917863,9,Alpha
2.9138624660073296,9,Gamma
0.4144094332759964,3,Gamma
-0.989538120031864,7,Beta
-2.132046280731309,6,Gamma
0.2677114623438358,4,Beta
-0.812941095310326,1,Beta
-0.4153572601796853,3,Alpha
-0.6120967990598081,6,Gamma
-0.1407908864163852,9,Alpha
1.0659802307876436,0,Gamma
0.1570485674453446,7,Beta
-0.1586348370386883,8,Beta
-1.0356537528258116,9,Alpha
-1.674682944704357,4,Gamma
-0.4863079090733309,1,Alpha
-0.0537825508183204,2,Beta
1.767929913579883,8,Gamma
0.1302745214728858,8,Gamma
0.9827395110230576,6,Gamma
-0.499295598539152,1,Gamma
-1.1849437664170246,1,Beta
-0.965116762232372,4,Alpha
-0.7252260645357532,5,Gamma
2.1284697324351645,0,Gamma
-0.8213866792243861,6,Gamma
0.838489203736345,5,Beta
-0.9029271780870264,0,Alpha
0.931573012874244,0,Beta
0.3849509661058631,4,Beta
-0.1566378976580904,7,Gamma
-0.040762526135434,8,Beta
-0.6547876954293904,4,Alpha
