id,a,b,c,d
1,10,foo,2020-01-01,100
2,,bar,not_a_date,9999999
3,30,,2020-01-03,300
4,40,baz,2020-01-04,
5,50,qux,2020-01-05,500
6,60,foo,2020-01-06,600
7,,bar,2020-01-07,700
8,80,baz,2020-01-08,800
9,90,qux,2020-01-09,900
10,100,foo,2020-01-10,1000
11,110,bar,2020-01-11,1100
12,120,baz,2020-01-12,1200
13,130,qux,2020-01-13,1300
14,140,foo,2020-01-14,1400
15,150,bar,2020-01-15,1500
16,160,baz,2020-01-16,1600
17,170,qux,2020-01-17,1700
18,180,foo,2020-01-18,1800
19,190,bar,2020-01-19,1900
20,200,baz,2020-01-20,2000
21,210,qux,2020-01-21,2100
22,220,foo,2020-01-22,2200
23,230,bar,2020-01-23,2300
24,240,baz,2020-01-24,2400
25,250,qux,2020-01-25,2500
26,260,foo,2020-01-26,2600
27,270,bar,2020-01-27,2700
28,280,baz,2020-01-28,2800
29,290,qux,2020-01-29,2900
30,300,foo,2020-01-30,3000
31,1000,spam,2020-02-01,10000000
32,1000,spam,2020-02-01,10000000
33,,eggs,not a date,NaN
34,NaN,eggs,2020-03-03,3.14159
35,42,odd,03/15/2020,0
36,42,odd,15-Mar-2020,0
37,9999999,huge,2020-04-01,9999999
38, ,missing_space,2020-05-01,5
39, ,missing_space,invalid_date, 
40,0,zero,2020-06-01,0
