a,b,cat
0.30471707975443135,9,Gamma
-1.0399841062404955,0,Gamma
0.7504511958064572,1,Gamma
0.9405647163912139,2,Beta
-1.9510351886538364,2,Gamma
-1.302179506862318,1,Beta
0.12784040316728537,0,Gamma
-0.3162425923435822,6,Beta
-0.016801157504288795,9,Alpha
-0.85304392757358,1,Alpha
0.8793979748628286,2,Alpha
0.7777919354289483,5,Alpha
0.06603069756121605,9,Beta
1.1272412069680329,6,Beta
0.4675093422520456,7,Alpha
-0.8592924628832382,5,Beta
0.36875078408249884,4,Beta
-0.9588826008289989,1,Alpha
0.8784503013072725,8,Beta
-0.049925910986252896,8,Beta
-0.18486236354526056,0,Beta
-0.6809295444039414,7,Beta
1.2225413386740303,0,Gamma
-0.15452948206880215,7,Alpha
-0.4283278221631072,8,Beta
-0.3521335504882296,1,Beta
0.5323091855533487,4,Alpha
0.36544406436407834,1,Gamma
0.4127326115959884,5,Alpha
0.43082100300788273,9,Alpha
2.1416476008704612,0,Gamma
-0.4064150163846156,3,Gamma
-0.5122427290715373,9,Gamma
-0.8137727282478777,3,Gamma
0.6159794225754956,1,Gamma
1.1289722927208916,4,Beta
-0.11394745765487507,5,Gamma
-0.840156476962528,6,Alpha
-0.8244812156912396,3,Beta
0.6505927878247011,9,Beta
0.7432541712034423,5,Gamma
0.543154268305195,2,Gamma
-0.6655097072886943,9,Beta
0.23216132306671977,9,Beta
0.11668580914072822,4,Alpha
0.21868859672901295,0,Gamma
0.8714287779481898,5,Beta
0.22359554877468227,5,Beta
0.6789135630718949,1,Gamma
0.06757906948889146,6,Beta
0.28911939868998415,8,Alpha
0.6312882258385404,1,Alpha
-1.4571558198556664,7,Alpha
-0.31967121635730134,1,Gamma
-0.4703726542927955,7,Alpha
-0.6388778482433419,4,Alpha
-0.27514225122668373,0,Beta
1.4949413112343959,9,Gamma
-0.8658311156932432,1,Beta
0.9682783545914808,5,Gamma
-1.6828697716158048,1,Gamma
-0.33488502998577485,9,Alpha
0.1627530651050056,7,Gamma
0.5862223313592781,8,Beta
0.711226579792855,4,Beta
0.7933472351999252,4,Alpha
-0.3487250722484376,6,Beta
-0.46235179266456716,7,Gamma
0.8579758812571538,8,Beta
-0.1913043248816149,0,Alpha
-1.2756863233379219,6,Beta
-1.1332872140034806,1,Gamma
-0.9194522860016113,2,Gamma
0.49716074405376404,8,Alpha
0.14242573607056525,2,Gamma
0.6904853540677682,7,Gamma
-0.42725264633653426,4,Alpha
0.15853969107671423,2,Gamma
0.6255903939673367,3,Beta
-0.3093465397202384,5,Beta
0.45677523755741145,7,Beta
-0.6619259410666513,6,Gamma
-0.3630538465650718,9,Gamma
-0.3817378939983291,8,Gamma
-1.1958396455890397,7,Gamma
0.4869724807855818,6,Gamma
-0.46940234020272387,2,Alpha
0.01249411872768743,4,Alpha
0.48074665890590895,1,Gamma
0.4465311760299441,3,Beta
0.6653851089727862,9,Alpha
-0.09848548450942361,4,Alpha
-0.42329831204415375,1,Beta
-0.07971821090639905,6,Beta
-1.6873344339580298,9,Alpha
-1.4471124724230873,8,Alpha
-1.3226996123544024,2,Alpha
-0.9972468276014818,4,Beta
0.3997742267234366,5,Alpha
-0.9054790553600608,2,Beta
-0.3781625540393897,2,Beta
1.2992282977860654,2,Beta
-0.35626397106142593,9,Gamma
0.7375155684670865,7,Beta
-0.933617680009877,8,Gamma
-0.20543755786763002,8,Gamma
-0.9500220549105812,9,Gamma
-0.3390330759005625,1,Gamma
0.8403081374573955,8,Beta
-1.7273204231923487,0,Beta
0.43442364354585733,4,Alpha
0.2377356023322779,5,Beta
-0.5941499556967944,3,Alpha
-1.4460578543884546,1,Gamma
0.07212950771386951,1,Gamma
-0.5294927090638024,8,Alpha
0.23267621135470395,3,Gamma
0.02185214552344288,3,Alpha
1.6017788913209154,9,Gamma
-0.23935562747302427,1,Alpha
-1.023497492621865,9,Beta
0.17927563495631615,9,Beta
0.21999668397176517,5,Gamma
1.3591875752404365,1,Beta
0.8351112459145785,1,Gamma
0.35687105914950934,2,Gamma
1.4633028912195618,5,Alpha
-1.188763054322851,1,Gamma
-0.6397515327497477,4,Gamma
-0.9265759414055249,1,Beta
-0.38980980315576796,5,Gamma
-1.3766861475563088,0,Gamma
0.6351509468144043,7,Gamma
-0.22222269709877338,0,Gamma
-1.4708062945026579,1,Beta
-1.0155790812075416,1,Alpha
0.3135138474501953,8,Gamma
0.8381265678943811,0,Beta
1.9967308916917865,4,Beta
2.9138624660073296,5,Alpha
0.4144094332759964,5,Alpha
-0.9895381200318641,6,Alpha
-2.132046280731309,8,Gamma
0.2677114623438358,3,Alpha
-0.812941095310326,8,Alpha
-0.41535726017968533,3,Gamma
-0.6120967990598081,9,Beta
-0.14079088641638526,5,Beta
1.0659802307876436,7,Gamma
0.15704856744534462,8,Beta
-0.1586348370386883,7,Alpha
-1.0356537528258116,8,Gamma
-1.674682944704357,5,Alpha
-0.4863079090733309,0,Beta
-0.05378255081832049,4,Gamma
1.767929913579883,1,Gamma
0.13027452147288585,8,Beta
0.9827395110230576,2,Gamma
-0.49929559853915206,2,Beta
-1.1849437664170246,2,Beta
-0.9651167622323719,6,Alpha
-0.7252260645357532,5,Beta
2.1284697324351645,9,Beta
-0.8213866792243861,4,Gamma
0.838489203736345,2,Alpha
-0.9029271780870264,0,Gamma
0.9315730128742441,0,Gamma
0.38495096610586316,3,Gamma
-0.1566378976580904,9,Beta
-0.040762526135434025,5,Alpha
-0.6547876954293904,8,Alpha
0.44607220148208054,1,Gamma
-0.45498348034078,0,Gamma
-1.2256057637672482,8,Beta
-1.2779375743196193,1,Alpha
0.17258791772211948,0,Alpha
1.579091256410435,4,Beta
0.15999161357343825,9,Beta
-0.11863832610988256,6,Alpha
0.2858261396025429,0,Gamma
1.3060017417068248,8,Beta
0.21938250136385634,8,Alpha
-0.41092723083373717,8,Alpha
1.1062887100598888,9,Beta
0.4287564384616135,2,Gamma
1.535755991995992,9,Gamma
0.18323443722190613,3,Beta
-1.2244690317205003,8,Alpha
-1.368159199245665,5,Gamma
1.6509279322312496,7,Beta
1.723665720783297,6,Alpha
-0.17951921328260065,6,Beta
-0.38318732113598775,6,Alpha
1.4614442922422022,7,Alpha
-1.107045682043488,7,Beta
-0.8947270189558264,1,Gamma
0.6433267946890444,8,Gamma
-0.3946051228595896,5,Gamma
-0.005121866720071296,3,Beta
-0.16344289852451258,5,Alpha
